v,Name,in TabArena v0.1,in data-foundry,Tags,# features,Comments to preprocessing,Source (Link to download),Source (Website),Original Source ,Original Source (Website),Source (Benchmark / Collection),# of appearances,Year,License,Reference,Free Comments,Potential issue,Required split,Problem Type,Usable Task Type,Given Task Type,Data Domain,Context Domain,Original Data State,samples,Use Case Comments,Uploaded to OpenML,# classes,Column 27
Lennart,Allstate_Claims_Severity,No,allstate_claims_severity,"Yes, No FS lit. reference, Sensitive features",131,,https://www.openml.org/d/42571,OpenML,https://www.kaggle.com/competitions/allstate-claims-severity,Kaggle,,0,2016,Public,https://www.kaggle.com/competitions/allstate-claims-severity,Predict amount of insurance claims.Data anonymized,Dominika: similar problem to the one with Otto - we don't have a permission to use the data as indicated by the competition rules.,Random (IID),Regression,Predictive ML,Predictive ML,Tabular,insurance,Table,188318,,Yes,,
Basti,Ancestry study,No,ancestry_study,"Yes, No FS lit. reference",105,https://github.com/CarolaHeinzel/BGA-Classification/blob/main/CrossValidation_Code/run_convert_excel_data.py,https://github.com/CarolaHeinzel/BGA-Classification/blob/main/datat/filtered_population_eur_update.xlsx,Github,https://pubmed.ncbi.nlm.nih.gov/36917866/,Other,Development and evaluations of the ancestry informative markers of the VISAGE Enhanced Tool for Appearance and Ancestry,1,2025,Public,,Chemical structure in MDL-SD format. ,"Domain knowledge, low #samples",Random (IID),Multiclass Classification,Predictive ML,Predictive ML,Tabular,"biology & life sciences, social science, Other",Table,635,,No,7.0,
"Andrej, Lennart",anneal,Yes,anneal,"Yes, No FS lit. reference",39,,https://www.openml.org/search?type=data&id=46906&sort=runs&status=active,OpenML,https://archive.ics.uci.edu/dataset/3/annealing,UCI,"TabArena, Comprehensive Decision Tree Models in Bioinformatics",2,2014,CC BY 4.0,https://doi.org/10.24432/C5RW2F,"Chemical, steel production. D: here more  on attributes",,Random (IID),Multiclass Classification,Predictive ML,Predictive ML,Tabular,chemistry & material science,Table,898,,Yes,5.0,
Lennart,APSFailure,Yes,aps_failure,"Yes, No FS lit. reference",171,,https://www.openml.org/search?type=data&status=active&id=46908,OpenML,https://archive.ics.uci.edu/dataset/414/ida2016challenge,UCI,TabArena,1,2017,CC BY 4.0,https://doi.org/10.24432/C5V60Q,D: 8% missing values,,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,technology & internet,Table,76000,,Yes,2.0,
Lennart,Audiology,No,audiology_diagnosis,Yes,69,,https://www.openml.org/search?type=data&status=active&id=7,OpenML,https://archive.ics.uci.edu/dataset/7/audiology+original,UCI,"Correlation-based feature selection for machine learning, Comprehensive Decision Tree Models in Bioinformatics",2,1987,,,"D: here's the standardized version with column names. I don't know what some one of them mean, might be derived from other domain but hard to tell","Dominika: ""This database does NOT use a standard set of attributes per instance."" not tabular?; B: Seems to be legit medical data. D: fair. maybe we could use the standardized version? ",Random (IID),Multiclass Classification,Predictive ML,"Scientific Discovery, Predictive ML",Tabular,medical & healthcare,Table,199,,Yes,24.0,
Dominika,Automobile,No,automobile,Yes,25,Dominika: it's an ordinal regression task,https://www.openml.org/search?type=data&status=active&id=9,OpenML,https://archive.ics.uci.edu/dataset/10/automobile,UCI,"Comprehensive Decision Tree Models in Bioinformatics, Theoretical and empirical analysis of ReliefF and RReliefF",2,1987,CC BY 4.0,1985 Auto Imports Database,"Dominika: so it's framed as regression but actually only has 7 values for targets. It's ordinal classification:   ""1. symboling:                -3, -2, -1, 0, 1, 2, 3."" It's a risk value",,Random (IID),Ordinal Classification,Predictive ML,Predictive ML,Tabular,industry & manufacturing,Table,205,,Yes,7.0,
Dominika,Is-this-a-good-customer,Yes,bad_customer_detection,"Yes, No FS lit. reference, Sensitive features",14,,https://www.openml.org/d/46938,OpenML,https://www.kaggle.com/datasets/podsyp/is-this-a-good-customer,Kaggle,TabArena,1,2020,CC0: Public Domain,https://www.kaggle.com/datasets/podsyp/is-this-a-good-customer,,"Dominika: no indication of the data source. ""Bad customer"" as a target is a bit strange + not sure if basing that on e.g. sex or having children is ethically sound. ",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,finance,Table,1723,,Yes,2.0,
Dominika,Bank_Customer_Churn_Dataset,Yes,bank_customer_churn,"Yes, Sensitive features",11,,https://www.openml.org/d/46911,OpenML,https://www.kaggle.com/datasets/gauravtopre/bank-customer-churn-dataset,Kaggle,TabArena,1,2020,Public,https://www.kaggle.com/datasets/gauravtopre/bank-customer-churn-dataset,,"Dominika: gender as a feature (not ok). ABC bank doesn't exist, there's no info on the source of the dataset so it might as well be synthetic",Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,finance,Table,10000,,Yes,2.0,
Basti,bank-marketing,Yes,bank_marketing,Yes,13,,https://www.openml.org/d/46910,OpenML,https://doi.org/10.24432/C5K306,UCI,"TabArena, Why do tree-based models still outperform deep learning on typical tabular data?, A Bayesian Framework for Learning Rule Sets for Interpretable Classification, Understanding global feature contributions with additive importance measures",4,2012,CC BY 4.0,https://doi.org/10.1016/j.dss.2014.03.001,,,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,finance,Table,45211,,Yes,2.0,
Basti,bioresponse ,Yes,bioresponse,Yes,1777,,openml.org/d/46912,OpenML,https://www.kaggle.com/c/bioresponse,Kaggle,"TabArena, Benchmark for filter methods for feature selection in high-dimensional classification data",2,2012,Competition license,Kaggle / https://www.kaggle.com/c/bioresponse,"Data already normalized, no semantic meaning. Predict a biological response of molecules from their chemical properties",,Random (IID),Binary Classification,Predictive ML,Predictive ML,Tabular,biology & life sciences,Table,3751,Seems like a good use case TBD,Yes,2.0,
